date,symbol,pred,pred_score,volatility,volatility_short,macd_diff,bba,Close,Volume,EarningsPerShareBasic,strategy
2020-12-24,LYTS,0,0.35473376593937334,0.024956603450094452,0.014842197348506484,0.0001889124986469426,1.1185633643195452,8.52,45568.0,0.06,MACD
2020-12-24,KRUS,0,0.3613485790077279,0.024828435008222856,0.011017654076154335,0.0096591612897996,3.4493918304537274,18.94,23193.0,-1.1,MACD
2020-12-24,VSEC,0,0.3517101082325233,0.02259511193288151,0.010717525441342614,0.08392335074497725,8.661745782462802,40.71,11410.0,-1.75,MACD
2020-12-24,VRA,0,0.35231078642792046,0.022385733640268624,0.016358815628160862,4.723785667652691e-05,1.7107320070554648,8.1,131929.0,-0.24,MACD
2020-12-24,PETQ,0,0.3984854329714548,0.019915059492784236,0.02939405308795201,0.40452298294894296,7.650633699243215,35.54,217033.0,-0.17,MACD
2020-12-24,PPIH,0,0.3936925597790475,0.019090079192845444,0.0062736165543019785,0.011944428725448347,0.7825701246512242,6.1,3037.0,0.03,MACD
2020-12-24,ADES,0,0.4015803866010312,0.017364504676000363,0.020875716007735048,0.002931601760257696,0.7865468835393763,5.96,56783.0,-1.43,MACD
2020-12-24,SCVL,0,0.365880457628113,0.017269802167185627,0.010853333592767708,0.059847494895839626,3.6159751105290496,38.8,75122.0,0.44,MACD
2020-12-24,MCRI,0,0.37629756299304873,0.016895130475417547,0.01843640919218482,0.2853619191912209,8.415403971292875,59.5,54222.0,-0.13,Breakout
2020-12-24,MCRI,0,0.37629756299304873,0.016895130475417547,0.01843640919218482,0.2853619191912209,8.415403971292875,59.5,54222.0,-0.13,Bollinger
2020-12-24,PQG,0,0.42227753085371644,0.015745861154389352,0.010318095908595934,0.15739282986482184,3.2776332351255206,13.98,62798.0,0.12,Breakout
2020-12-24,RC,0,0.35302629164637517,0.015638128547239612,0.006877068054956217,0.005454318148772865,2.410523594574549,12.76,175006.0,-0.33,MACD
2020-12-24,AMRB,0,0.40167325871672643,0.013289923292359344,0.016157305524994524,0.0802792166914118,2.829063449272585,13.08,23131.0,0.3,Breakout
2020-12-24,MGPI,0,0.35563272966962317,0.013166495122015147,0.010440891731282773,0.02567875204758785,5.253335702197788,47.38,50369.0,0.5,Breakout
2020-12-24,TACO,0,0.38231866587177976,0.012164349469393715,0.017172907635976786,0.0060134362108198725,0.6819266822768526,9.55,159447.0,-2.78,MACD
2020-12-24,JRSH,0,0.41864148860295125,0.011316753770059296,0.020056905332820923,0.00034934651408258244,0.33290160648476963,5.52,6880.0,0.07,MACD
2020-12-24,HSII,0,0.3897077308137724,0.009760141131054938,0.00918118715015517,0.017895099857817343,3.8750581931094388,29.64,28919.0,-1.33,Breakout
2020-12-23,PTN,0,0.3213929178671485,0.10682989186883385,0.3176570235326243,0.025440855080721095,0.3084580362097705,0.77,49626859.0,-0.03,Breakout
2020-12-23,PTN,0,0.31572778769058324,0.10682989186883385,0.3176570235326243,0.025440855080721095,0.3084580362097705,0.77,49626859.0,-0.03,Bollinger
2020-12-23,EVLO,0,0.3201320807102514,0.0855288000003708,0.04028100138790624,0.41383521235760456,10.101583836210938,10.74,613780.0,-0.63,MACD
2020-12-23,SENS,0,0.34157908597108305,0.08453999675030524,0.340474231604028,0.015629641589180947,0.22426725128780978,0.647,51002781.0,-0.03,Breakout
2020-12-23,SENS,0,0.33591395579451777,0.08453999675030524,0.340474231604028,0.015629641589180947,0.22426725128780978,0.647,51002781.0,-0.03,Bollinger
2020-12-23,EVOL,0,0.36142922808535777,0.07258190678825417,0.11119415082831766,0.0027382881764671796,0.9795733765272028,2.47,1325616.0,-0.01,MACD
2020-12-23,XCUR,0,0.34941402401552163,0.06754417979132149,0.046159099711253496,0.06019486078595571,0.8051335292978918,1.98,442754.0,-0.05,MACD
2020-12-23,MCF,0,0.34010859920225506,0.06709828459808138,0.04822359771627483,0.05852931401344,1.231577849843216,2.5,2061878.0,-1.01,Breakout
2020-12-23,SPWH,0,0.35115582709533766,0.06469163660986903,0.09896356542988076,0.5888084764417272,6.798045233741705,17.895,6991127.0,0.72,MACD
2020-12-23,FLNT,0,0.33350048688969314,0.06177502844924127,0.14065223191196313,0.06190298851498496,1.532375932981532,5.02,1598775.0,0.01,MACD
2020-12-23,OEG,0,0.38843174876243436,0.060599729052280324,0.0792762991155958,0.0015420789534951324,0.4201475931159888,1.5,3869663.0,-0.31,MACD
2020-12-23,UAMY,0,0.3718401989415105,0.058071516143187604,0.10670750384153636,0.0019168768117990582,0.1314792926663373,0.5,7926925.0,0.0,MACD
2020-12-23,PPSI,0,0.3533124950705813,0.05786705021750731,0.03894975636306508,0.010420488134956551,1.356633052818573,4.53,871370.0,-0.12,MACD
2020-12-23,MBIO,0,0.35183857745121117,0.057119430028375946,0.13910559679102144,0.05762147489507442,1.6004736798833918,4.0,18630641.0,-0.32,MACD
2020-12-23,YCBD,0,0.3475410907504803,0.05541326546181408,0.12328471741462,0.02222980717699434,0.7242623833944659,3.36,7822183.0,-0.18,MACD
2020-12-23,HARP,0,0.338777037695194,0.053603424436845716,0.06276682295343328,0.4589041150974551,5.404505897859618,17.84,259931.0,-0.51,MACD
2020-12-23,STIM,0,0.33979993109647466,0.05316893531321748,0.11388789072863753,0.09309054227290958,3.1047801854589467,11.29,515478.0,-0.41,MACD
2020-12-23,CPSH,0,0.3823593289827072,0.0527232748613125,0.07454718516770709,0.0005994901637738914,0.5536027456580239,2.54,194946.0,0.07,MACD
2020-12-23,FLMN,0,0.3784334414134435,0.050592535794329506,0.08088265105418013,0.02607446735225835,1.412338486341497,3.25,254476.0,-0.01,Breakout
2020-12-23,PRTY,0,0.315193097010537,0.04764797857162494,0.05991627321307076,0.027702077775460854,2.3909830614214247,6.26,4826400.0,-7.19,MACD
2020-12-23,VNRX,0,0.35194891210215834,0.04663870159514791,0.07903846507665654,0.07140423601706997,1.0991269262465857,4.31,816650.0,-0.12,Breakout
2020-12-23,VNRX,0,0.34943083742322595,0.04663870159514791,0.07903846507665654,0.07140423601706997,1.0991269262465857,4.31,816650.0,-0.12,Bollinger
2020-12-23,RICK,0,0.33897417267644137,0.045720616205210715,0.10509276804266954,0.8218836111693766,13.517887378965519,39.95,202382.0,-0.6,Bollinger
2020-12-23,ISR,0,0.36871196547863194,0.04552601270139325,0.04834551829677225,0.006414141524871523,0.15675946414948172,0.4758,1515079.0,-0.05,MACD
2020-12-23,MARK,0,0.34675679710245594,0.04507522273003557,0.06744347307865509,0.029322857390786897,0.5750269559025312,1.98,13912950.0,-0.11,Breakout
2020-12-23,MARK,0,0.33933201080137715,0.04507522273003557,0.06744347307865509,0.029322857390786897,0.5750269559025312,1.98,13912950.0,-0.11,Bollinger
2020-12-23,SREV,0,0.35082582734363826,0.04505169009150181,0.0641609809681729,0.0013695095826555398,0.342292272774654,1.65,271754.0,-0.06,MACD
2020-12-23,ABEO,0,0.3523652622629936,0.03924283143600255,0.09214736066695764,0.010110600259974678,0.31350277667250115,1.8,4275862.0,-0.14,MACD
2020-12-23,TG,0,0.33900965936803423,0.03794612354081823,0.04491715617493131,0.029092855794478067,6.642725986792064,16.31,502793.0,0.33,MACD
2020-12-23,GEN,0,0.3914213154960982,0.037706512862325514,0.07728453303719356,0.0019581404398180523,0.09853162739351284,0.5887,7815956.0,0.1,MACD
2020-12-23,CKPT,0,0.362226271006529,0.036342229609227374,0.042538791767481994,0.028700732776908454,0.5308813426748991,2.83,1055026.0,-0.09,MACD
2020-12-23,UIHC,0,0.3490331274425269,0.03371490471397147,0.058308454179472724,0.09021946862848854,1.2669254121726734,5.56,171787.0,0.57,MACD
2020-12-23,MSN,0,0.43222584624225824,0.03223220870642139,0.05665347643025791,0.007378122170394817,0.23022415511844574,1.08,1611490.0,-0.05,MACD
2020-12-23,MTRX,0,0.41178641066763466,0.0321757794687071,0.077353344111467,0.0875590117225114,1.8846113657709864,11.34,258894.0,-0.22,MACD
2020-12-23,MEIP,0,0.3620041698562674,0.032127457699719676,0.050561411264402265,0.028283811263916527,0.3804155413869914,3.22,912138.0,-0.51,MACD
2020-12-23,OCN,0,0.3598762250458495,0.030341905268990166,0.04818319288537374,0.4922476757660448,8.291326553382014,30.82,138492.0,0.02,MACD
2020-12-23,AGS,0,0.338656845354433,0.029408951486495544,0.03375686084449189,0.04765609701880402,2.3450748388879283,6.77,1481958.0,-1.2,MACD
